assessment_id,student_id,course_id,score,attempt_date
1,40992,3,14,11/3/2020
2,4487,97,70,5/10/2024
3,47958,77,98,10/16/2021
4,35962,195,75,6/25/2022
5,15927,200,24,11/13/2022
6,1545,66,12,12/30/2023
7,45621,116,78,8/18/2022
8,44626,24,18,11/29/2023
9,28781,27,76,7/29/2024
10,12519,66,69,10/18/2021
11,40982,160,11,3/3/2021
12,19939,82,67,1/19/2024
13,260,19,77,8/19/2021
14,31331,186,88,4/7/2024
15,25822,133,27,3/7/2021
16,44214,120,54,6/20/2021
17,1874,125,73,12/1/2020
18,35247,150,34,9/14/2024
19,34214,36,86,9/24/2023
20,15003,69,78,2/14/2021
21,38460,5,23,4/6/2024
22,23211,44,81,10/28/2023
23,7864,105,7,5/10/2020
24,36236,184,10,10/6/2024
25,41483,32,74,7/7/2020
26,17930,166,68,11/13/2022
27,34867,19,66,5/21/2024
28,20121,128,86,9/13/2022
29,40991,33,14,9/15/2021
30,40936,74,87,9/8/2024
31,40646,8,26,7/28/2023
32,20359,184,63,4/20/2022
33,7145,20,66,8/13/2022
34,20349,58,20,9/13/2021
35,45658,159,35,6/18/2022
36,40684,36,58,4/6/2021
37,39457,112,62,9/17/2020
38,41394,25,84,8/20/2022
39,1628,83,45,8/16/2023
40,44277,89,71,7/25/2022
41,35773,126,46,9/6/2021
42,22468,156,95,1/24/2023
43,251,130,10,8/27/2024
44,26321,184,4,7/23/2020
45,40430,86,55,11/28/2024
46,12168,127,7,4/3/2020
47,5950,103,59,5/24/2021
48,48062,15,100,2/6/2024
49,20173,200,63,12/5/2021
50,16629,76,57,6/16/2021
51,92,30,42,9/1/2024
52,4895,5,45,5/1/2023
53,37596,38,80,10/13/2021
54,26977,50,36,2/26/2023
55,19811,101,28,12/30/2020
56,49867,66,79,4/15/2021
57,41070,93,47,4/7/2024
58,42147,85,0,4/21/2023
59,4725,155,42,3/17/2020
60,16373,30,94,5/18/2023
61,3555,63,32,10/11/2021
62,43008,139,78,11/26/2023
63,2605,60,3,11/3/2021
64,19492,64,73,3/20/2022
65,15794,8,84,11/19/2020
66,40533,5,1,7/31/2020
67,10770,138,41,7/8/2022
68,16548,61,95,4/10/2020
69,30281,61,94,1/14/2023
70,9485,21,71,4/21/2024
71,44133,55,73,6/27/2021
72,49797,8,39,4/24/2022
73,31755,161,17,4/29/2024
74,19137,109,89,2/27/2020
75,7914,163,59,1/12/2024
76,30987,51,67,9/23/2020
77,22274,145,69,6/5/2023
78,22598,191,40,9/12/2022
79,46833,93,22,5/11/2024
80,33343,161,65,9/21/2021
81,13543,67,68,10/10/2023
82,25700,185,18,1/29/2021
83,12029,59,84,6/23/2020
84,47460,126,6,10/10/2022
85,12880,91,54,9/8/2022
86,24203,61,9,2/27/2021
87,8860,94,34,1/3/2021
88,17104,100,60,7/11/2024
89,37547,50,93,9/4/2021
90,29204,39,77,7/5/2020
91,20743,195,74,11/8/2022
92,49108,198,13,7/2/2024
93,31638,130,91,7/31/2020
94,43047,191,28,1/4/2022
95,46760,172,35,11/3/2024
96,49321,10,45,8/9/2021
97,31637,162,64,7/1/2021
98,43755,49,10,1/27/2023
99,46203,20,13,8/23/2024
100,26312,76,35,10/29/2024
101,25248,89,35,12/22/2020
102,40854,119,75,6/12/2024
103,29370,108,57,4/28/2023
104,16044,148,96,5/13/2020
105,5532,74,72,10/10/2021
106,46044,45,89,7/31/2024
107,35724,45,46,7/1/2024
108,574,86,53,6/24/2024
109,21313,80,57,4/15/2024
110,26822,179,68,4/15/2022
111,32104,147,52,2/23/2023
112,11160,4,100,11/26/2022
113,12077,117,99,3/16/2021
114,11691,74,88,11/11/2022
115,19468,194,31,4/23/2021
116,17220,167,92,7/4/2021
117,34892,178,28,5/2/2024
118,16108,24,31,8/20/2024
119,9637,35,6,5/5/2021
120,44284,150,32,1/3/2022
121,20331,156,24,9/11/2023
122,2107,159,32,5/8/2023
123,49227,81,4,10/2/2024
124,9349,122,71,8/11/2024
125,1568,113,2,12/27/2021
126,24101,194,52,8/7/2024
127,42277,17,25,10/29/2023
128,46060,80,9,10/14/2021
129,26670,128,19,1/2/2024
130,39175,189,40,3/15/2023
131,39625,13,84,10/9/2021
132,33229,193,26,7/24/2020
133,45258,143,73,4/1/2024
134,19883,62,54,10/1/2022
135,29144,61,45,7/28/2021
136,26535,192,14,11/2/2020
137,336,37,21,11/20/2022
138,27719,23,38,12/13/2023
139,19035,128,77,3/13/2024
140,41113,117,99,9/30/2022
141,5395,21,53,12/13/2020
142,7625,169,5,4/7/2024
143,38785,19,34,10/10/2023
144,22444,108,46,3/19/2023
145,6430,134,98,1/8/2022
146,38669,38,64,3/2/2022
147,6527,187,49,11/9/2024
148,14648,84,89,6/14/2024
149,20975,175,0,3/7/2021
150,14796,21,3,6/23/2021
151,38801,129,58,4/8/2020
152,14337,197,8,8/24/2022
153,6008,166,27,6/21/2024
154,12616,46,39,11/12/2024
155,2312,76,68,5/27/2024
156,21091,137,98,7/4/2021
157,19618,84,94,2/7/2022
158,43811,140,60,11/25/2023
159,13133,70,47,11/18/2023
160,15820,59,53,12/19/2024
161,21365,147,79,3/9/2022
162,28274,195,78,7/15/2022
163,271,144,22,11/28/2021
164,25943,122,97,5/13/2020
165,14160,15,76,8/6/2021
166,4145,124,94,1/13/2024
167,38062,165,14,9/4/2023
168,1367,60,22,9/15/2024
169,38763,144,21,12/29/2024
170,2,128,67,7/27/2024
171,1963,173,36,9/4/2023
172,11283,86,91,3/11/2020
173,34490,38,52,7/1/2022
174,35008,139,82,11/26/2023
175,4628,6,41,10/25/2024
176,36714,36,78,1/30/2024
177,23280,146,35,9/23/2023
178,48592,7,40,2/8/2023
179,11781,59,77,12/26/2024
180,14629,26,60,10/28/2024
181,10954,77,12,9/8/2023
182,24048,35,57,2/25/2022
183,14388,197,100,6/10/2022
184,6053,74,76,2/26/2024
185,18780,9,25,2/27/2023
186,46732,13,85,2/25/2021
187,35788,89,28,2/26/2020
188,10439,78,38,4/7/2023
189,45243,18,16,2/22/2024
190,2391,148,90,2/23/2024
191,42258,70,55,5/6/2021
192,13094,33,98,7/7/2020
193,47686,108,57,3/11/2022
194,16423,25,89,6/18/2024
195,34158,160,58,9/30/2024
196,3669,86,90,6/1/2023
197,2528,10,15,9/10/2024
