enrollment_id,student_id,course_id,enroll_date,status
1,24660,199,2020-12-02,completed
2,41071,21,2022-06-06,INVALID
3,5611,75,2021-07-09,completed
4,37206,157,2024-02-20,completed
5,5573,196,2022-03-24,completed
6,36584,72,2023-04-28,dropped
7,51744,188,2022-07-21,active
8,26654,158,2023-05-17,active
9,33633,5,2024-01-19,dropped
10,177360,181,2021-04-08,active
11,25599,87,2020-11-19,active
12,48481,82,2021-01-24,completed
13,27882,114,2024-07-26,completed
14,51984,179,2021-04-25,active
15,54540,152,2021-09-09,active
16,50130,63,2023-05-06,INVALID
17,40306,90,2024-07-20,dropped
18,13347,102,2021-04-05,dropped
19,31190,42,2020-09-09,dropped
20,393950,176,2020-07-11,active
21,31778,550,2020-12-27,dropped
22,43913,62,2024-07-26,dropped
23,38925,150,2022-02-05,dropped
24,31740,154,2024-11-06,completed
25,19102,100,2022-02-22,completed
26,16399,5,2020-11-04,dropped
27,23986,1230,2022-12-08,active
28,19864,111,2021-06-30,active
29,1687,1840,2020-11-21,active
30,54226,181,2022-05-26,active
31,4513,620,2023-12-31,completed
32,32062,17,2020-08-17,INVALID
33,41747,140,2021-12-09,dropped
34,12084,4,2020-11-22,INVALID
35,15596,136,2020-02-14,completed
36,53751,63,2022-09-22,completed
37,25001,116,2023-06-27,active
38,22210,77,2020-07-01,dropped
39,32996,159,2023-09-28,dropped
40,18764,59,2024-06-11,active
41,49329,135,2022-02-04,active
42,8651,670,2024-12-22,dropped
43,419440,82,2022-05-12,completed
44,36947,27,2024-11-08,dropped
45,31241,29,2023-02-06,completed
46,40404,123,2024-11-11,completed
47,18173,127,2020-11-04,dropped
48,20898,122,2023-11-19,active
49,3562,48,2021-09-11,active
50,51751,22,2023-01-01,dropped
51,23273,16,2022-05-16,dropped
52,51816,77,2023-07-21,dropped
53,32985,10,2020-01-11,dropped
54,37482,19,2024-07-25,active
55,356850,104,2020-06-20,completed
56,36122,36,2020-03-12,completed
57,17440,96,2020-07-31,dropped
58,24456,65,2022-12-10,completed
59,37187,142,2024-01-01,completed
60,53847,17,2020-08-26,INVALID
61,1748,1880,2020-03-06,active
62,28288,108,2020-03-24,dropped
63,357750,188,2022-09-14,dropped
64,29295,82,2021-12-25,dropped
65,8996,194,2021-08-05,INVALID
66,33173,112,2021-06-18,active
67,9219,7,2022-05-26,completed
68,4699,23,2024-06-02,completed
69,35294,153,2023-11-09,active
70,8330,3,2021-06-28,dropped
71,8527,30,2020-01-24,completed
72,35893,87,2021-06-21,active
73,41266,27,2024-02-28,dropped
74,30760,73,2021-06-01,completed
75,30052,30,2021-06-08,active
76,44195,164,2024-07-07,active
77,42111,104,2021-04-21,INVALID
78,33936,3,2023-07-13,completed
79,2964,50,2022-08-06,INVALID
80,46889,43,2023-12-14,completed
81,17346,27,2021-03-15,dropped
82,19486,1070,2020-06-16,completed
83,34777,27,2024-05-17,INVALID
84,25690,1130,2022-06-22,completed
85,42403,510,2023-10-11,completed
86,36665,200,2024-09-14,completed
87,19029,44,2024-01-25,completed
88,200,27,2024-05-16,completed
89,5396,178,2021-04-22,active
90,2880,174,2023-11-24,completed
91,3523,154,2021-02-06,dropped
92,1809,3,2020-07-17,active
93,8059,127,2021-05-17,active
94,13137,124,2024-02-18,active
95,22889,171,2022-08-12,dropped
96,34239,17,2022-02-11,active
97,496920,103,2023-05-07,INVALID
98,43546,83,2021-10-22,dropped
99,372540,160,2024-12-12,dropped
100,37678,122,2022-01-04,active
101,41377,31,2023-10-26,completed
102,1930,146,2023-07-02,completed
103,28149,76,2020-10-19,INVALID
104,26287,32,2021-02-24,active
105,25492,12,2022-02-20,active
106,23517,95,2021-02-10,completed
107,27615,1570,2024-06-05,INVALID
108,35183,18,2024-06-29,active
109,33107,114,2021-06-20,dropped
110,11130,86,2024-06-04,active
111,42841,37,2023-12-05,active
112,10077,30,2023-04-10,INVALID
113,31883,166,2022-12-24,dropped
114,47284,45,2024-12-08,dropped
