payment_id,student_id,course_id,amount,payment_date,method
1,52979,32,189,2021-09-02,INVALID
2,14503,183,112,2022-09-15,Bank Transfer
3,36722,41,251,2021-09-11,Bank Transfer
4,42429,18,218,2023-12-08,PayPal
5,29318,27,115,2024-02-29,Bank Transfer
6,54550,121,76,2023-03-30,UPI
7,25174,5,424,2022-05-09,UPI
8,1794,19,102,2023-03-26,Credit Card
9,545,180,375,2023-12-21,PayPal
10,30088,76,468,2021-09-10,PayPal
11,3796,165,459,2024-06-16,Bank Transfer
12,3588,69,242,2023-05-24,UPI
13,37239,168,316,2023-04-15,UPI
14,465,183,144,2023-05-20,PayPal
15,41616,112,171,2023-12-19,Credit Card
16,26767,24,152,2022-05-27,INVALID
17,4361,129,115,2021-06-18,Bank Transfer
18,50299,116,338,2022-06-22,INVALID
19,20778,192,64,2023-07-08,Bank Transfer
20,28969,97,233,2020-09-13,Bank Transfer
21,1542,161,108,2024-12-27,PayPal
22,54782,182,114,2024-09-11,Bank Transfer
23,6848,6,419,2022-12-14,UPI
24,18674,40,302,2023-07-26,UPI
25,24724,43,158,2021-01-27,UPI
26,54794,4,95,2023-02-13,Credit Card
27,10712,127,110,2021-06-08,Bank Transfer
28,9470,27,482,2020-01-14,Credit Card
29,23158,125,311,2023-01-23,PayPal
30,54853,58,149,2023-09-18,Bank Transfer
31,27907,34,2300,2021-08-17,PayPal
32,6810,179,375,2022-11-16,UPI
33,42665,47,70,2021-09-08,Credit Card
34,16568,126,202,2021-05-29,Credit Card
35,14775,44,243,2022-06-28,UPI
36,17819,105,4910,2021-07-12,INVALID
37,9347,183,348,2022-03-17,Bank Transfer
38,47071,28,115,2020-06-25,PayPal
39,22022,131,80,2023-07-24,Bank Transfer
40,48088,167,295,2022-06-18,Credit Card
41,29206,176,2790,2022-04-19,Bank Transfer
42,32729,55,478,2020-08-17,Credit Card
43,54152,20,175,2020-01-24,Credit Card
44,37817,139,121,2023-05-04,PayPal
45,9711,61,213,2023-11-14,PayPal
46,39786,118,119,2022-06-11,Bank Transfer
47,9944,146,466,2024-11-30,PayPal
48,42227,25,496,2020-03-08,Bank Transfer
49,15598,10,57,2022-10-08,PayPal
50,51465,144,217,2023-11-16,INVALID
51,54286,32,3530,2023-07-27,INVALID
52,9183,74,425,2022-11-03,PayPal
53,39919,165,221,2024-01-12,Bank Transfer
54,25096,22,162,2024-03-31,Credit Card
55,4880,153,2740,2021-08-17,INVALID
56,8354,118,455,2021-09-19,Credit Card
57,37033,185,125,2023-12-11,PayPal
58,5781,109,224,2022-03-26,UPI
59,10212,175,302,2024-08-17,Credit Card
60,37055,80,144,2024-03-19,INVALID
61,50617,117,294,2021-03-29,UPI
62,31904,23,376,2024-01-25,Bank Transfer
63,481,198,1860,2021-12-04,PayPal
64,38022,197,250,2020-02-14,Bank Transfer
65,4988,76,86,2020-01-21,UPI
66,4356,189,174,2020-11-15,Bank Transfer
67,12601,3,138,2022-05-08,UPI
68,49019,157,288,2023-06-07,Bank Transfer
69,35110,199,83,2023-05-05,Bank Transfer
70,6382,172,452,2024-04-16,Credit Card
71,29660,103,475,2023-05-22,Credit Card
72,24152,118,200,2024-04-17,UPI
73,13074,107,382,2023-01-21,Credit Card
74,1650,100,94,2021-12-09,PayPal
75,31195,58,83,2022-01-08,INVALID
76,3113,57,2830,2022-08-13,Credit Card
77,43546,163,151,2023-11-04,UPI
78,16793,65,173,2023-04-24,Bank Transfer
79,18429,51,242,2020-02-17,UPI
80,5612,5,600,2023-08-11,UPI
81,36012,109,1260,2020-03-30,Bank Transfer
82,36654,156,229,2022-09-02,PayPal
83,7969,72,409,2021-02-14,UPI
84,28681,164,460,2020-03-16,INVALID
85,10005,78,331,2020-03-27,UPI
86,13508,94,181,2023-03-03,PayPal
87,35219,45,325,2023-05-31,UPI
88,29823,102,313,2020-04-12,PayPal
89,36431,96,368,2023-12-10,UPI
90,5130,105,475,2024-02-29,PayPal
91,30699,77,491,2021-09-20,Credit Card
92,46278,151,489,2020-12-11,Bank Transfer
93,41842,97,239,2021-02-02,UPI
94,5189,86,403,2021-01-14,PayPal
95,46397,184,650,2020-01-09,UPI
96,1061,168,342,2020-08-20,Credit Card
97,7694,197,316,2021-11-04,INVALID
98,28511,75,223,2022-11-01,UPI
99,43200,27,291,2020-03-13,PayPal
100,44529,74,475,2023-04-15,Bank Transfer
101,7317,139,214,2020-10-16,Bank Transfer
102,7206,198,205,2022-12-16,Bank Transfer
103,35291,5,307,2021-07-23,PayPal
104,52072,165,188,2022-05-11,Bank Transfer
105,43453,39,174,2022-02-12,Bank Transfer
106,54277,67,123,2024-04-29,INVALID
107,3656,101,423,2021-09-04,Credit Card
108,8077,103,256,2022-05-15,Credit Card
109,50899,173,3780,2024-01-12,PayPal
110,46795,65,2910,2022-05-14,UPI
111,41996,68,184,2022-11-11,PayPal
112,26854,174,363,2021-04-26,Credit Card
113,33282,64,296,2024-06-24,Bank Transfer
114,41675,69,336,2020-09-18,Credit Card
115,42240,127,499,2020-05-08,Credit Card
116,7150,138,84,2023-01-17,PayPal
117,19752,138,53,2023-09-25,INVALID
118,16279,53,91,2022-08-15,PayPal
119,13189,22,580,2021-07-14,PayPal
120,20478,133,333,2022-02-01,UPI
121,6973,17,465,2023-11-16,Credit Card
122,37005,181,160,2020-01-17,UPI
123,44729,186,109,2024-10-23,PayPal
124,45133,141,286,2020-07-18,Bank Transfer
125,25591,180,322,2023-11-06,PayPal
126,22984,108,163,2021-12-29,PayPal
127,38840,73,290,2021-04-17,PayPal
128,14594,183,399,2020-02-23,Bank Transfer
129,8731,186,464,2022-05-01,Credit Card
130,23586,185,271,2020-05-31,INVALID
131,49605,127,135,2020-10-04,PayPal
132,16585,140,156,2022-10-17,INVALID
133,38202,10,359,2020-03-24,Credit Card
